method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy,ER_sum
full_log,0,1050,0.9669797292104476,0.6185951162675665,0.9622365844272318,0.6186236197448624,0.5929203539823008,24.44367193092122,0.4411764705882353,23.5804913088206,25665.85552746728
trace2vec_based,1,314,0.9833363993816392,0.6498571742474182,0.9799127929933412,0.6498571742474182,0.627906976744186,16.500452528193463,0.5641025641025641,18.504714337550457,5181.142093852747
trace2vec_based,2,97,0.9931107727053884,0.4022711505458795,0.997398613710975,0.4022711505458795,0.6074766355140188,32.76731811491619,0.3875,20.15755886081088,3178.4298571468707
trace2vec_based,3,280,0.96093406476285,0.5344458084517592,0.9553907309005062,0.5344458084517592,0.6103896103896105,23.9476054909798,0.5576923076923077,18.41379284356542,6705.329537474344
trace2vec_based,4,201,0.9727454790187892,0.7078006195437905,0.9520084984109528,0.7078474452143542,0.6615384615384615,22.841495122231727,0.4807692307692308,16.53963257172336,4591.1405195685775
trace2vec_based,5,84,0.9552544256895842,0.7865822130299897,0.9287452727930596,0.7865822130299897,0.6263736263736264,28.48573015321752,0.3382352941176471,19.97442913572888,2392.8013328702714
trace2vec_based,6,74,0.9553904620933829,0.4220389041653936,0.8396664815687405,0.4220389041653936,0.6521739130434783,30.880859562173235,0.3761904761904762,16.199470943792562,2285.1836076008194
trace2vec_based,average,1050,0.972021923549969,0.602182847632564,0.955669826584115,0.6021918114037863,0.6293739049537695,23.175263760489173,0.4988133586768041,18.212099573186745,24334.02694851363
entropic_clustering_++,1,368,0.9818355252044596,0.5304582383353136,0.927959721198282,0.5346786812712458,0.6000000000000001,28.304958206879864,0.4084967320261438,24.072629279626973,10416.22462013179
entropic_clustering_++,2,117,0.9087672825423452,0.6681985294117647,0.917252262508158,0.6739382687398469,0.6385542168674699,11.37225573253327,0.2058823529411764,10.176307319422929,1330.5539207063925
entropic_clustering_++,3,114,0.9786155321036548,0.5223367697594501,0.9821093913878696,0.522836814321781,0.6086956521739131,18.399937779786583,0.3208333333333333,17.723673172754957,2097.5929068956707
entropic_clustering_++,4,155,0.9739882438618394,0.4265311486900902,0.9806264662459436,0.4307801670517149,0.6000000000000001,19.29702589327503,0.238562091503268,14.06498318289816,2991.0390134576296
entropic_clustering_++,5,140,0.9835836651030994,0.5378729915837797,0.969355716117282,0.5419413209254234,0.5849056603773586,16.817000690429165,0.3104575163398693,20.264465736039348,2354.380096660083
entropic_clustering_++,6,156,0.9047750983948304,0.5379037574159525,0.9429923299960894,0.5441629808336684,0.588235294117647,19.42865406118018,0.3291666666666666,17.282882505426866,3030.870033544108
entropic_clustering_++,average,1050,0.9609697354810712,0.5316778899302199,0.9481732083205432,0.5359505379197057,0.6014796629109556,21.162533896567307,0.3264582944288827,18.8410300382958,22220.660591395674
entropic_clustering_++_norm,1,354,0.9803397895278854,0.5267850421053764,0.928365234834948,0.5310531053105311,0.6000000000000001,28.51200330450553,0.4019607843137255,24.066821873906385,10093.249169794957
entropic_clustering_++_norm,2,137,0.9785879097758544,0.590293453724605,0.9619157309944506,0.5929857819905213,0.5909090909090908,15.936198180347269,0.2908496732026144,18.092094273200026,2183.259150707576
entropic_clustering_++_norm,3,187,0.962491968431358,0.5542547958681752,0.9801964814701954,0.5582761023191003,0.5897435897435898,18.22129555127729,0.2647058823529412,15.015448969493402,3407.3822680888534
entropic_clustering_++_norm,4,124,0.9499111941658448,0.5411901210011603,0.9610349386966308,0.5471063257065949,0.6097560975609756,18.61078465781268,0.2791666666666667,15.650862479973572,2307.737297568772
entropic_clustering_++_norm,5,112,0.9891980360065468,0.4561070608209328,0.9684724617178307,0.458371086278063,0.6179775280898876,20.43087767986213,0.3666666666666666,21.525258774011228,2288.258300144559
entropic_clustering_++_norm,6,136,0.9795961370559187,0.5624851508671893,0.9877127574157472,0.5657389635316699,0.6202531645569621,15.52080983123716,0.2625,12.99897539429259,2110.8301370482536
entropic_clustering_++_norm,average,1050,0.9741876856930766,0.5387498106923324,0.9577968318400562,0.5426178358451134,0.6026802536761637,21.32449173652664,0.3266893868658574,18.97672133325362,22390.716323352975
entropic_clustering_randominit,1,352,0.979339977396827,0.4989389952588245,0.9260749800822262,0.5031618861231729,0.6170212765957447,28.42504354007345,0.4117647058823529,23.97331889504897,10005.615326105853
entropic_clustering_randominit,2,131,0.996401953225392,0.5160996907404038,0.99116008884716,0.5211215642870319,0.6000000000000001,20.732941375669423,0.2941176470588235,19.29784995592758,2716.0153202126944
entropic_clustering_randominit,3,123,0.9824678375599178,0.509642301710731,0.9682608202591249,0.5134455103003617,0.6097560975609756,18.87327400256939,0.3083333333333333,15.49391914484853,2321.412702316035
entropic_clustering_randominit,4,124,0.9780220877204044,0.5582562333385604,0.9697913966449112,0.5615701171256726,0.5757575757575757,15.044583544699467,0.284313725490196,18.617471148270408,1865.5283595427338
entropic_clustering_randominit,5,179,0.9687762579731264,0.6529129540781358,0.9712144759173932,0.6560992419021365,0.6190476190476191,17.469309123742583,0.2320261437908496,14.047216077388809,3127.0063331499223
entropic_clustering_randominit,6,141,0.9756823874233946,0.639068236485631,0.9825278358138853,0.6433414353332481,0.6202531645569621,15.92152579367711,0.2463235294117647,13.733838163365668,2244.9351369084725
entropic_clustering_randominit,average,1050,0.9793874072545694,0.5544051447494864,0.9595756140406992,0.5584012455332917,0.6099529988263781,21.219536360224488,0.3170617024587612,18.69701707749791,22280.513178235713
entropic_clustering_split_++,1,356,0.9877439854743532,0.3730142635030081,0.9729623665003828,0.3741078104819523,0.6097560975609756,18.174370402614564,0.3272058823529412,17.347540905596325,6470.075863330784
entropic_clustering_split_++,2,208,0.9453964425018672,0.5212234094696598,0.9499510522354344,0.5373348356038103,0.6000000000000001,19.43630202428896,0.3455882352941176,21.66212221984245,4042.7508210521037
entropic_clustering_split_++,3,84,0.911529016632771,0.5484600169539418,0.9550698755049766,0.5619883040935673,0.6103896103896105,12.09284322433014,0.2279411764705882,14.218960503842665,1015.7988308437316
entropic_clustering_split_++,4,102,0.9023831457264936,0.8768342554726967,0.8942566157153158,0.8768342554726967,0.65,25.94860495676314,0.325,17.595942721235026,2646.7577055898405
entropic_clustering_split_++,5,251,0.9884676819604372,0.5174529815777649,0.9444775621396614,0.5210633841061315,0.5913978494623656,30.96377516139264,0.392156862745098,23.22687337547514,7771.907565509552
entropic_clustering_split_++,6,49,0.9683388685246506,0.5061936936936937,0.975419159924328,0.5070549723445084,0.627906976744186,28.7388285202186,0.3208333333333333,21.230349783982245,1408.2025974907115
