method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy,ER_sum
full_log,0,7554,0.9657079052277042,0.8409022932150064,0.9572409331707626,0.8409022932150064,0.7333333333333333,10.727563930774872,0.5333333333333333,3.6675129573786633,81036.01793307338
trace2vec_based,1,1379,0.9734563573682332,0.8348192545420491,0.9659861896711566,0.8348192545420491,0.7333333333333333,11.42629086941348,0.5333333333333333,3.264774443276122,15756.855108921189
trace2vec_based,2,1099,0.9889291996168392,0.8713302131280702,0.9838005187312968,0.8713302131280702,0.7391304347826086,13.558127203678268,0.65,3.861668918371984,14900.381796842417
trace2vec_based,3,769,0.9898752767469275,0.8489691545469075,0.9827341574152386,0.8489691545469075,0.7391304347826086,15.828959539287442,0.65,3.778404757872416,12172.469885712044
trace2vec_based,4,3998,0.91110749176591,0.9186308314833184,0.9328262004370984,0.9186308314833184,0.6666666666666666,7.652045789240845,0.7,3.765980016200612,30592.8790653849
trace2vec_based,5,309,0.9914764835099396,0.6165264440100847,0.9915896367208112,0.6165264440100847,0.6666666666666666,17.913589426956975,0.6,2.975700033012856,5535.299132929706
trace2vec_based,average,7554,0.9451174980795296,0.8769999565206816,0.9537800688097418,0.8769999565206816,0.6967561096338248,10.452460284589655,0.653119759950578,3.657343231710814,78957.88498979025
entropic_clustering_++,1,2129,1.0,0.7481485057027404,0.8511095267354165,0.8017209997598965,0.7333333333333333,15.409994639560264,0.5,2.997464629206956,32807.8785876238
entropic_clustering_++,2,1916,0.9998877476567324,0.9993693062368606,0.999393491877186,0.999719495091164,0.8,2.1710864121125404,0.55,2.030738292961268,4159.801565607628
entropic_clustering_++,3,1335,0.989095096040711,0.6640555906506633,0.97926850332318,0.6640555906506633,0.7142857142857143,7.389869975195972,0.5333333333333333,3.6004614058890927,9865.476416886622
entropic_clustering_++,4,1113,0.983310505757622,0.9520148342453982,0.971301870958898,0.9520148342453982,0.8181818181818181,9.426607939298274,0.55,3.235361513505602,10491.814636438978
entropic_clustering_++,5,1061,0.9990412906211776,0.8320325667021028,0.9975193976083212,0.8320325667021028,0.7777777777777779,11.409621225640064,0.6,2.8898381154537574,12105.608120404106
entropic_clustering_++,average,7554,0.9954506592509864,0.8388261896605314,0.9496426566100764,0.8540137461461722,0.7656204237618058,9.191233694328982,0.5399854381784486,2.878764673919183,69430.57932696113
entropic_clustering_++_norm,1,1506,0.991896695030815,0.8466196187643069,0.984692064271236,0.8466196187643069,0.7142857142857143,16.44909809433757,0.5,3.335976345399774,24772.34173007238
entropic_clustering_++_norm,2,1662,0.9998750728741568,0.8835431037708783,0.9996057123213216,0.8835431037708783,0.8,11.794189431670434,0.45,2.302144679428889,19601.94283543626
entropic_clustering_++_norm,3,1129,0.9965826295218992,0.9304331912891166,0.9945332501656488,0.9304331912891166,0.7391304347826086,9.605846501202572,0.65,3.302678047043168,10845.000699857705
entropic_clustering_++_norm,4,1339,0.9819541237827112,0.6199521211883364,0.9443310123830768,0.6200251197111233,0.7931034482758622,7.519558768022087,0.4666666666666667,3.498819083340565,10068.689190381574
entropic_clustering_++_norm,5,1918,1.0,0.9996059113300492,0.9999389447290854,0.9996059113300492,0.8461538461538463,2.158977687461912,0.3,1.0183035677327807,4140.919204551948
entropic_clustering_++_norm,average,7554,0.9946474919656512,0.8659355156862425,0.986161120423466,0.8659484551914068,0.7843104501917272,9.191010545446105,0.4547281793310387,2.543936105904037,69428.89366029986
entropic_clustering_randominit,1,2205,0.9917563294550892,0.8605165078003891,0.9849969874511892,0.8605165078003891,0.7142857142857143,6.866507661265231,0.5,2.888541816295185,15140.649393089834
entropic_clustering_randominit,2,1696,0.9998848412728878,0.8348401025502631,0.9995181687507784,0.8348401025502631,0.7931034482758622,11.992397928501944,0.45,2.305897962055817,20339.106886739297
entropic_clustering_randominit,3,1155,0.9976692659626508,0.922945366385386,0.9926553883371192,0.922945366385386,0.7777777777777779,12.478875685490555,0.6,3.034624517562186,14413.101416741594
entropic_clustering_randominit,4,1371,0.9810987458046282,0.616902471231843,0.9377235316532696,0.6169723039770583,0.7931034482758622,7.819058305417135,0.4666666666666667,3.560772811366424,10719.928936726892
entropic_clustering_randominit,5,1127,0.98364312267658,0.9482955043379196,0.971733686077046,0.9482955043379196,0.8181818181818181,9.523306256587253,0.6,3.2312213222247843,10732.766151173833
entropic_clustering_randominit,average,7554,0.9913406909172362,0.8331787044278418,0.9788696016899694,0.8331913785996303,0.7714949057832026,9.44473825582095,0.5129335451416468,2.9531949855563373,71345.55278447145
entropic_clustering_split_++,1,2230,0.9961691971359232,0.8798489078666447,0.9840260428290508,0.8798633579135804,0.7647058823529413,7.007629785752851,0.5333333333333333,2.948350191938891,15627.014422228858
entropic_clustering_split_++,2,1701,0.993016704360592,0.9609897822609604,0.982071834429582,0.9610839046686256,0.7931034482758622,6.7833408051847774,0.4666666666666667,3.89292019824408,11538.462709619307
entropic_clustering_split_++,3,1545,0.9973096295165876,0.9129191306808871,0.99585816043406,0.9129191306808871,0.7391304347826086,12.321629266040498,0.6,3.912004604275383,19036.91721603257
entropic_clustering_split_++,4,840,0.9992879581151832,0.9047488484316736,0.9977127566592296,0.9047488484316736,0.7777777777777779,12.243681051537529,0.55,3.2064822195906126,10284.692083291524
entropic_clustering_split_++,5,1238,1.0,0.8880863573144518,0.8397622140484092,0.9271498437712268,0.7777777777777779,13.967125974889615,0.55,2.534985303246839,17291.301956913343
