method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy,ER_sum
frequency_based,1,1191,0.9670748019984728,0.8714994071359276,-999.0,-999.0,0.7196261682242991,33.21928094887401,0.163076923076923,30.039482400688705,39564.163610108946
frequency_based,2,8577,0.9776928807255856,0.4594088378443672,-999.0,-999.0,0.642384105960265,11.339960494668532,0.2,31.20519697702085,97262.841162772
frequency_based,3,2101,0.963646291013642,0.5364396412128103,-999.0,-999.0,0.691275167785235,31.697874197172,0.1738461538461538,29.96121243073623,66597.23368825838
frequency_based,4,1218,0.9570793842607636,0.7040729252732666,-999.0,-999.0,0.7209302325581395,33.11398488933907,0.1584615384615384,28.66599621821743,40332.833595214994
frequency_based,average,13087,0.9725530277842744,0.5320490490762574,-999.0,-999.0,0.6645728886642412,18.62589379203441,0.1885750392344722,30.66307700174935,243757.07205635431
random_clustering,1,2173,0.9627543771779338,0.4528854898870695,-999.0,-999.0,0.6626506024096385,26.42633562128036,0.2066666666666666,30.814886224360475,57424.42730504223
random_clustering,2,1853,0.9695380106976856,0.5505976764157183,-999.0,-999.0,0.6645962732919255,30.14956335954736,0.2016666666666666,31.250101792280912,55867.140905241264
random_clustering,3,7336,0.97390092485318,0.204458022176963,-999.0,-999.0,0.5950920245398774,11.03984615777715,0.2061538461538461,33.50615352256778,80988.31141345318
random_clustering,4,1725,0.9673074908756538,0.5620099467998508,-999.0,-999.0,0.6626506024096385,30.029477599048075,0.1923076923076923,32.738074904135104,51800.84885835793
random_clustering,average,13087,0.97056329196255,0.3418467848126287,-999.0,-999.0,0.6250557067798005,18.803448344318376,0.2037785882643374,32.638611434081305,246080.7284820946
actitrac_freq,1,8466,0.9989311602276476,0.1368173391919425,-999.0,-999.0,0.6136363636363635,20.096007656652706,0.1969230769230769,31.89023233482365,170132.80082122178
actitrac_freq,2,2325,0.997200529324158,0.8080588795933495,-999.0,-999.0,0.7142857142857143,7.392464882010769,0.1473684210526315,13.922525902164285,17187.480850675038
actitrac_freq,3,596,0.9688315268135876,0.6343472750316856,-999.0,-999.0,0.6785714285714285,15.60515261068494,0.1233333333333333,18.32991224373713,9300.670955968224
actitrac_freq,4,1700,0.9986610931715056,0.2567798669678941,-999.0,-999.0,0.6790123456790124,14.923977443538028,0.1322463768115942,23.05692741237228,25370.76165401465
actitrac_freq,average,13087,0.9972178407227316,0.2943095620400265,-999.0,-999.0,0.6429670130161712,16.962765666835768,0.1763664594960276,26.93313853193621,221991.7142818797
actitrac_dist,1,4224,0.921988361983435,0.2409658655139097,-999.0,-999.0,0.6377952755905513,4.683899872677281,0.2028985507246377,25.58009987332181,19784.793062188834
actitrac_dist,2,1965,0.995501967679734,0.6096275386575404,-999.0,-999.0,0.724770642201835,6.301972228339243,0.1605263157894736,15.324705329431794,12383.375428686611
actitrac_dist,3,722,0.9978197566930632,0.2545816803522691,-999.0,-999.0,0.6385542168674699,19.1616775126596,0.18,25.536680036376005,13834.731164140232
actitrac_dist,4,6176,0.9369610881214848,0.4534478579652184,-999.0,-999.0,0.6404494382022472,29.264589299463537,0.1938461538461538,32.54067436242445,180738.1035134868
actitrac_dist,average,13087,0.94427582731561,0.3973454476503666,-999.0,-999.0,0.6521489593441192,17.325666934247916,0.1910011106396448,27.32269241887688,226741.00316850247
