method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy,ER_sum
entropic_clustering_split_++,2,455,0.9955092509430572,0.99470487463012,0.9884531714553392,0.995631143704166,0.7499999999999999,3.447044004906012,0.4,3.226820751633379,1568.4050222322353
entropic_clustering_split_++,3,240,1.0,0.8866788517363724,0.9998940531208592,0.8866788517363724,0.7777777777777779,7.383393341401131,0.3,1.5079831162641264,1772.0144019362715
entropic_clustering_split_++,4,37,1.0,0.7901811805961426,0.9998575803199378,0.7901811805961426,0.7777777777777779,13.676651247733789,0.45,3.837812685527053,506.0360961661502
entropic_clustering_split_++,5,93,0.997948717948718,0.6767515923566879,0.9953497206024732,0.6767515923566879,0.7931034482758622,7.260430623207692,0.3,1.805759454228016,675.2200479583154
entropic_clustering_split_++,average,1487,0.9963655895476736,0.9375911704564645,0.9889457947145384,0.9383429257322504,0.7578702522757899,4.021964293255196,0.3936897556601658,2.750616292207256,5980.660904070476
entropic_clustering_split_++_norm,1,649,0.9964105074237232,0.8607452618053325,0.9892264545808614,0.862057825876272,0.7499999999999999,1.6926533241090955,0.4666666666666667,3.038065587425748,1098.532007346803
entropic_clustering_split_++_norm,2,436,0.999375390381012,0.8232970027247957,0.9979917367332496,0.8232970027247957,0.7777777777777779,3.0522887536839987,0.3666666666666666,3.0919066389562944,1330.7978966062235
entropic_clustering_split_++_norm,3,249,0.9994570135746608,0.6591140529531568,0.9986251015154068,0.6591140529531568,0.7931034482758622,7.788903894730351,0.3333333333333333,1.59810523279716,1939.4370697878576
entropic_clustering_split_++_norm,4,62,1.0,0.8433428662217985,0.9998499358585408,0.8433428662217985,0.7499999999999999,12.608653479093077,0.3666666666666666,3.915579989929696,781.7365157037707
entropic_clustering_split_++_norm,5,91,1.0,0.8170326014637392,0.999884609008114,0.8170326014637392,0.8,7.46910306317375,0.4,1.930932289400148,679.6883787488113
entropic_clustering_split_++_norm,average,1487,0.9981593045757956,0.8126010704263346,0.994465509051096,0.8131739379999996,0.7684222392278417,3.920774625550414,0.4067697825599641,2.78156345763403,5830.191868193466
entropic_clustering_split_randominit,1,649,0.9962485728266188,0.9588424437299036,0.9888974726447528,0.9600128990648178,0.7499999999999999,1.6698715956411148,0.4333333333333333,2.4953221524032103,1083.7466655710834
entropic_clustering_split_randominit,2,461,0.9936552696510398,0.994487827285255,0.9841414469546804,0.9953980671882192,0.7499999999999999,3.625101558019041,0.4,3.2824468555734434,1671.171818246778
entropic_clustering_split_randominit,3,241,1.0,0.8006095604748156,0.9998830184438604,0.8006095604748156,0.8181818181818181,7.630488335715352,0.35,1.5791409767510158,1838.9476889073999
entropic_clustering_split_randominit,4,44,1.0,0.8139111434814276,0.9998491638356828,0.8139111434814276,0.7499999999999999,14.938489504616642,0.3666666666666666,4.1166208189459725,657.2935382031322
entropic_clustering_split_randominit,5,92,1.0,0.6605097894347987,0.9998478340956884,0.6605097894347987,0.7931034482758622,7.167272019315382,0.3,1.669562364414929,659.3890257770151
entropic_clustering_split_randominit,average,1487,0.9963956980992636,0.9215020372392904,0.990205002140616,0.9222950742988906,0.7637171051938112,3.97481421432778,0.3992714637973549,2.5877445233932965,5910.548736705409
frequency_based,1,136,0.99718574108818,0.8486063382970599,0.9938683356350272,0.8486063382970599,0.8,9.793825793682071,0.45,2.395218157306394,1331.9603079407616
