method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy,ER_sum
full_log,0,150370,0.928771016304247,0.8127643151921125,0.8783598871670011,0.8127643151921125,0.6296296296296295,2.9348731045816607,0.5,11.42773673423794,441316.8687359443
trace2vec_based,1,68423,0.9865163687006248,0.99209592375781,0.978827899820656,0.99209592375781,0.7142857142857143,2.194012954073403,0.2884615384615384,9.301413810122057,150120.94835656445
trace2vec_based,2,20732,0.9938121462055516,0.7566152473527271,0.9932023505490588,0.7566152473527271,0.6470588235294118,0.2585580906270281,0.4230769230769231,10.62340546704132,5360.426334879547
trace2vec_based,3,57581,0.9952922714790112,0.9090433774410768,0.9963938070618912,0.9090433774410768,0.8181818181818181,0.2561585091978856,0.3717948717948718,8.197504999900788,14749.86311812345
trace2vec_based,4,3634,0.980276337629623,0.8891228466854146,0.946600649760788,0.8892548664810076,0.7647058823529413,4.011815870942872,0.3653846153846153,8.358511098811169,14578.938875006397
trace2vec_based,average,150370,0.9907320037621558,0.925337672678638,0.9867574056439002,0.9253408632082464,0.7460202394572125,1.2290362218831803,0.3407911340062035,9.038175460564268,184810.17668457382
entropic_clustering_++,1,56698,0.9997555319162994,0.9165894455499344,0.9991907937573108,0.9165624885232656,0.7560975609756097,0.0647322959343063,0.3461538461538461,9.942991119821937,3670.1917148833004
entropic_clustering_++,2,24684,0.9957575645550352,0.6508642617533096,0.9861359218598388,0.6509723056440784,0.6603773584905661,1.336967912737943,0.3717948717948718,9.587965016300789,33001.715958023386
entropic_clustering_++,3,19261,0.9757588756913618,0.7416978468538848,0.9434909161831944,0.7416978468538848,0.7272727272727273,2.477118435465256,0.3461538461538461,7.670863187841773,47711.7781854963
entropic_clustering_++,4,49727,0.9970566718274156,0.8186115731419067,0.992275293236534,0.8186115731419067,0.875,0.510662191292094,0.2948717948717949,6.8394001739476975,25393.698786381956
