method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,ER,tade_fitness,graph_density,graph_entropy
full_log,0,21348.0,0.9888532632376437,0.7805759402032002,0.9784476270770972,0.7805759402032002,3.6205844079158873,2.8170768599534636e-06,0.2791666666666667,12.729223603554367
entropic_clustering,0,3812.0,0.994050725817609,0.8524717789022966,0.9921964206089914,0.8524717789022966,1.8454866751817838,2.37351553976297e-05,0.22435897435897437,6.594568188884306
entropic_clustering,1,9489.0,0.9997590978205217,0.5834651481598649,0.999711357310171,0.5835999859348078,0.025574788036414584,1.7634791901871722e-05,0.18888888888888888,3.5213508751913865
entropic_clustering,2,3600.0,0.9577840741980821,0.5938211661582091,0.9088960307268982,0.5938211661582091,5.585148879835437,8.401652011576521e-05,0.19523809523809524,8.428175388378296
entropic_clustering,3,1575.0,0.9946376059505276,0.8742911153119093,0.9882168798253241,0.8742911153119093,3.6947210331300213,3.353663562932063e-05,0.19523809523809524,8.125573552246824
entropic_clustering,4,2872.0,0.982454680349985,0.7292461682827651,0.9648824073736265,0.7292461682827651,4.946740286893679,1.0728181714328739e-05,0.2909090909090909,7.546440679847025
entropic_clustering,weighted_average,,0.9889555079860405,0.6743152947422908,0.977521238298504,0.6743752289584437,2.220837271314245,3.016235545011767e-05,0.2104867495255354,5.778769897235774
entropic_clustering_split,0,15698.0,0.9865174241648951,0.6964914057160216,0.9741047031305531,0.696514012303486,2.3878290772922157,6.931969328396737e-06,0.3106060606060606,7.623632132210266
entropic_clustering_split,1,3994.0,0.9937546743756123,0.8502653728622742,0.9906866799889733,0.8502653728622742,2.341475365571747,0.0001709169641708958,0.2087912087912088,5.173085476808257
entropic_clustering_split,2,922.0,0.9922974054730522,0.8645870258773485,0.9897366819811112,0.8645870258773485,2.0638031048312135,0.0001305545723408633,0.17032967032967034,5.0291530395029325
entropic_clustering_split,3,392.0,0.975609756097561,0.7508650519031141,0.9471930662466715,0.7508650519031141,5.861247059295664,8.557825410302312e-06,0.25,9.417079252575164
entropic_clustering_split,4,342.0,0.9918319719953326,0.8925686591276252,0.984218649329146,0.8925686591276252,3.9822356188426196,8.350673116676037e-05,0.2545454545454545,7.567951158073355
entropic_clustering_split,weighted_average,,0.9880059237706353,0.7366605211621049,0.9775500239106814,0.7366771446495517,2.45448535492642,4.42076866560744e-05,0.28348812670060564,7.085145871805376
frequency_based,0,2196.0,0.9997216810464793,0.36764705882352944,0.9872236378947994,0.36860693263570965,3.693494083848992,0.00011661569888776668,0.20454545454545456,4.634384865178449
frequency_based,1,463.0,0.9873817034700315,0.6707009581442259,0.9696931012233942,0.6707009581442259,4.984061648910755,4.512964958586857e-05,0.2032967032967033,9.433438260820106
frequency_based,2,4005.0,0.9954909416190992,0.9100454853382367,0.991791598219693,0.9100454853382367,2.8261950226434616,5.006432197365635e-06,0.3111111111111111,3.536199824493155
frequency_based,3,11611.0,0.998195264531063,0.6824237072089709,0.9946891684111265,0.6824237072089709,1.4035412174725663,3.459969424567715e-06,0.3106060606060606,4.548260769891872
frequency_based,4,3073.0,0.9841285480545496,0.9177384130065518,0.9723417210813258,0.9217667671746393,5.620795101946143,5.104023865922641e-05,0.1813186813186813,6.329993820508463
frequency_based,weighted_average,,0.9955855352309813,0.7263655359354215,0.9896186251104453,0.7270441482293172,2.590718804647723,2.3142880918807413e-05,0.2788527013864282,4.72967951027842
random_clustering,0,5862.0,0.9973809769617163,0.7521686328938237,0.9928268796664381,0.7521686328938237,4.2979112976854354,4.879913395745654e-05,0.26373626373626374,9.548163579873556
random_clustering,1,1514.0,0.981560839448965,0.7873687239246152,0.9643657416170666,0.7882369900533371,7.223675417314549,6.703005038225018e-06,0.3409090909090909,11.262012154503404
random_clustering,2,2873.0,0.9206319233504501,0.7815256875973016,0.8979098639234973,0.7852938985323699,4.703657265691384,9.369116851863698e-06,0.3,7.872164391698817
random_clustering,3,964.0,0.9894534034435603,0.7203042715038034,0.9826643447558505,0.7203042715038034,7.155671465389494,0.00018372915381930968,0.2087912087912088,7.297700337995345
random_clustering,4,10135.0,0.9975900449908566,0.5887622510976096,0.9927110686424626,0.5887622510976096,0.7873699272113505,0.00015808746427770507,0.2087912087912088,4.269226317089913
random_clustering,weighted_average,,0.9856714493424713,0.6795995319053986,0.9775206599916201,0.6801682327174342,3.022422214638379,9.848499626842059e-05,0.24552332621472586,6.836347266911253
trace2vec_based,0,12918.0,0.9840858843061002,0.9361328538184895,0.9855611242028657,0.9361328538184895,1.6589311357780216,6.82289656642109e-07,0.5666666666666667,1.5612771944837118
trace2vec_based,1,6857.0,0.9930430889203838,0.9360568921168104,0.9946247579457749,0.9360568921168104,4.577131990555704,6.939907540907156e-07,0.5238095238095238,3.7726998220971035
trace2vec_based,2,487.0,0.9879192884899923,0.5389730328777245,0.952417627033708,0.5729794933655006,8.951283793513731,1.2709596268961865e-06,0.23333333333333334,15.02314198305384
trace2vec_based,3,671.0,0.985315766558864,0.814796668299853,0.9770217330881783,0.814796668299853,3.3419851035006,2.3882914972257593e-05,0.3194444444444444,4.2139575654833985
trace2vec_based,4,415.0,0.9782809357798015,0.8578500707213579,0.9751637721258108,0.8578500707213579,4.153829683131491,5.923001889610996e-07,0.375,3.8618804907335944
trace2vec_based,weighted_average,,0.9869762073916768,0.9217126909154129,0.9872457607451093,0.9224884613040931,2.86401784718056,1.4269585089190999e-06,0.5338002370394164,2.7067874065159003
