method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,ER,tade_fitness,graph_density,graph_entropy
full_log,0,21348.0,0.9888532632376437,0.7805759402032002,0.9784476270770972,0.7805759402032002,3.6205844079158873,2.8170768599534636e-06,0.2791666666666667,12.729223603554367
entropic_clustering,0,1695.0,0.9971989632839047,0.6981591358588164,0.9957669385834097,0.6981591358588164,3.672037394539068,9.774992940146581e-06,0.24545454545454545,5.5122986257215745
entropic_clustering,1,1265.0,0.9733403031887088,0.7608650447078394,0.9476919844036306,0.7608650447078394,5.23189160754346,5.157634049735935e-05,0.19230769230769232,8.273679399991241
entropic_clustering,2,966.0,0.9953617810760668,0.7475283778835591,0.9870709446199682,0.7475283778835591,5.252704976489428,8.408094552183462e-05,0.17142857142857143,8.855550447889131
entropic_clustering,3,9487.0,0.9997891296325584,0.7999071886601418,0.9996460924707103,0.7999071886601418,0.029349924483232634,3.878593344434392e-05,0.21428571428571427,1.470440622557434
entropic_clustering,4,1333.0,0.9779840848806366,0.7215533322028149,0.9590548139887057,0.7215533322028149,5.4991591760219425,1.7102285279581696e-05,0.3,6.113936052148915
entropic_clustering,5,823.0,0.9763142683218458,0.9095890410958904,0.9697309834556871,0.9095890410958904,2.32521985055043,1.9430165297012794e-05,0.23076923076923078,7.690484822650448
entropic_clustering,6,3599.0,0.9948271808135434,0.9844050632911392,0.9923675259393366,0.9851911958616493,1.4244365590012757,2.9779945230121175e-06,0.2916666666666667,2.821015778022477
entropic_clustering,7,2180.0,0.986251941171097,0.7484047402005469,0.9863495805213083,0.7493148897298708,3.8734150251232147,3.2010395038129324e-06,0.3,4.848671733423699
entropic_clustering,weighted_average,,0.9933304460895259,0.8123254851864654,0.9894177351866728,0.8125509590994874,1.9210056706671288,2.751927433235187e-05,0.2413047904721598,3.6310740332102602
entropic_clustering_split,0,15868.0,0.9858395302496277,0.6962582814695844,0.9726107372350739,0.6962806806203885,2.5146694474622273,7.057833975893268e-06,0.3333333333333333,7.893817146132286
entropic_clustering_split,1,3783.0,0.9934619420453629,0.8539095926086687,0.9875499722240538,0.8539095926086687,1.7687424557654008,9.928273525200886e-05,0.20512820512820512,4.291572124467467
entropic_clustering_split,2,666.0,0.9974391805377721,0.8540646425073457,0.9951655531374106,0.8540646425073457,1.4438395426253894,1.788946838322795e-05,0.25555555555555554,3.408074550217585
entropic_clustering_split,3,367.0,0.9916920559693072,0.7370343316289263,0.9868863337621361,0.7370343316289263,3.82501398762228,2.1354652441135192e-05,0.23333333333333334,6.126378949047357
entropic_clustering_split,4,444.0,0.9943844650964466,0.8058401639344263,0.9869078863523095,0.8058401639344263,3.0882063788359138,3.5266823452330394e-06,0.17307692307692307,5.745518894758585
