method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,ER,tade_fitness,graph_density,graph_entropy
full_log,0,65533.0,0.9657079052277042,0.8409022932150064,0.9572409331707626,0.8409022932150064,11.053569281367558,5.772215536701331e-07,0.5333333333333333,3.6675129573786633
entropic_clustering,0,9263.0,0.9931242796391241,0.9608681462140992,0.9832266332908239,0.9609622352057969,6.752752843998317,1.4976319558557039e-06,0.4666666666666667,3.892573811341019
entropic_clustering,1,6070.0,0.9995964283912627,0.9996570308672219,0.9987713978722212,0.9996570308672219,2.2154305499622104,3.1774657204659924e-06,0.65,2.6245140166450978
entropic_clustering,2,50200.0,0.9951422379735321,0.9058641244088966,0.9910095597336518,0.9058641244088966,15.288326226287717,1.3501385273289426e-05,0.5,3.6333558523853515
entropic_clustering,weighted_average,,0.9952695721072359,0.9223264440979636,0.9906283946696566,0.9223397434483687,12.870956458454067,1.0848417170730001e-05,0.5091821423303273,3.5765518911881378
entropic_clustering_split,0,6081.0,0.999596875787352,0.9992176039119804,0.9986719328031238,0.9992176039119804,2.2301241873566564,3.3973333852096846e-06,0.65,2.4226623397511546
entropic_clustering_split,1,9285.0,0.993137643792146,0.9608341479309221,0.9826277035657064,0.9609280802945873,6.7806900579642155,1.3920638759223972e-06,0.4666666666666667,3.8988622391923466
entropic_clustering_split,2,50167.0,0.9951482404310588,0.905970991403631,0.9910366672104709,0.905970991403631,15.282667639411123,1.350619128010441e-05,0.5,3.6336076939311557
entropic_clustering_split,weighted_average,,0.9952761723403154,0.9223968693432824,0.9905537475002072,0.9224101780884433,12.866886604273441,1.0851778422358163e-05,0.5091961301939482,3.558822925249447
frequency_based,0,26621.0,1.0,0.894340723453909,0.8589907169405402,0.938071795305204,15.910421327683261,7.58597536250559e-07,0.4666666666666667,3.186070502957525
frequency_based,1,24834.0,0.9300556128901505,0.7112956109596156,0.9218744306921978,0.7112956109596156,6.793395896160188,1.508265368666671e-06,0.5,3.531820666070314
frequency_based,2,14078.0,0.9954573321933895,0.8321135831381733,0.9929310163031237,0.8321135831381733,19.500409401484134,3.3518260773556394e-07,0.65,4.160691430827558
frequency_based,weighted_average,,0.9725184168759637,0.8116071998085974,0.9115942248180235,0.8293717590955723,13.226699272177251,9.517279527824991e-07,0.518682699301624,3.5264650060826273
random_clustering,0,19553.0,0.9815086072349803,0.8122424955856387,0.972536370558119,0.8122424955856387,13.3268682072567,1.3958163197952091e-05,0.5333333333333333,4.0572222965508615
random_clustering,1,20013.0,0.9760818122210518,0.8207301813185465,0.9686407795914737,0.8207301813185465,12.30489735130901,1.6261009773247016e-05,0.5333333333333333,3.6647806717607803
random_clustering,2,25967.0,0.9462598705924612,0.6814378020785202,0.9388222032055072,0.6814378020785202,8.885706628503371,6.523597546881488e-07,0.5333333333333333,3.22990147434821
random_clustering,weighted_average,,0.9658842593032505,0.7630040749162559,0.957987696673805,0.7630040749162559,11.25499074924976,9.389092203188272e-06,0.5333333333333333,3.609555105562197
trace2vec_based,0,22249.0,0.9959518712756383,0.8446472772277227,0.9933409092361162,0.8446559886137439,18.785509396369,4.5388292689806394e-07,0.5,4.172233547180232
trace2vec_based,1,24956.0,0.9998858522774807,0.9481653792134831,0.9997560699646184,0.9481653792134831,6.743962456772794,9.6256046267905e-07,0.65,2.6520019566371045
trace2vec_based,2,18328.0,0.9998509446377335,0.8728232492756118,0.9997617191036234,0.8728232492756118,12.570851667693107,5.95975019709281e-07,0.7,3.719139120188305
trace2vec_based,weighted_average,,0.9985404700955071,0.891948743189152,0.9975796493272486,0.8919517007773531,12.461808478118124,6.873350877940137e-07,0.6130575435276884,3.46658579365907
