method,cluster,num_traces,replay_fitness,replay_precision,ER,tade_fitness,graph_density,graph_entropy
full_log,0,92426.0,0.8849105748518131,0.3658954173900275,26.273173689265285,2.0622235708709466e-07,0.30752688172043013,29.931593065888325
entropic_clustering,0,49609.0,0.8935504774205844,0.25342394028542026,28.40241934831889,1.45240672186595e-07,0.30919540229885056,31.110316659861493
entropic_clustering,1,9773.0,0.9810101387023514,0.5127419174404295,19.13009102660778,3.144862878909695e-07,0.15217391304347827,15.50765434929414
entropic_clustering,2,10638.0,0.9936297179653828,0.46497879070042414,17.93043005212049,2.043841975966615e-06,0.17142857142857143,10.191127546042518
entropic_clustering,3,10363.0,0.973829439416918,0.48317746350364965,19.021664844900155,4.780139297438626e-07,0.145,16.074553468617136
entropic_clustering,4,11974.0,0.9972472968951492,0.49134417837055,25.343976593164523,2.09536905948663e-06,0.12987012987012986,11.820996570574417
entropic_clustering,weighted_average,,0.9367846971351563,0.36185781948669976,24.765943073751853,6.720088072438975e-07,0.23503824769903386,22.861790990405254
entropic_clustering_split,0,24683.0,0.9969320459869544,0.3840322771277225,23.140428027540583,6.595095486059923e-07,0.13666666666666666,14.127377638368948
entropic_clustering_split,1,12767.0,0.9167994751602829,0.44122115596878286,18.796011083949498,7.538349004118584e-07,0.17588932806324112,14.239125945296637
entropic_clustering_split,2,7336.0,0.9919586882692331,0.4541454786646031,14.703811531767936,6.96702112316171e-07,0.15367965367965367,15.39261290928781
entropic_clustering_split,3,43929.0,0.9148546608778312,0.24048010954416155,32.29492844923157,1.4330350894510625e-07,0.3103448275862069,31.163915374605285
entropic_clustering_split,4,3642.0,0.9942159747386154,0.3739429554249678,17.873614747516243,9.468585189121962e-07,0.1422924901185771,12.99652727943406
entropic_clustering_split,weighted_average,,0.946313181516406,0.328829448790062,26.016334838359462,4.4130417432440553e-07,0.22627070502676583,22.302047298382718
frequency_based,0,4939.0,0.9499319228639926,0.5275690128631305,11.672847314640713,4.6241117097148885e-06,0.17786561264822134,18.805471306468377
frequency_based,1,17052.0,0.9675260133798191,0.398198489316153,21.156935572213023,2.2857748747115505e-07,0.20833333333333334,20.74363503205722
frequency_based,2,46644.0,0.979903057234176,0.42738119063380386,27.429311202481276,4.5528176245870463e-07,0.2229064039408867,22.291472836144266
frequency_based,3,13661.0,0.920541403251691,0.6788709105940711,25.754029467231764,6.2772520653933e-07,0.19576719576719576,27.440785283511975
frequency_based,4,10061.0,0.9074929368184943,0.6674097664543525,32.79010939834292,7.030674023230966e-08,0.20634920634920634,26.24041216613334
frequency_based,weighted_average,,0.9593465367645232,0.4906978076398761,25.76480545277028,6.199320434701739e-07,0.21198912473059228,23.011114489209533
random_clustering,0,19361.0,0.9251726429329652,0.3603863282423978,24.907735820042156,8.557659697030925e-07,0.20804597701149424,25.391662986977934
random_clustering,1,14609.0,0.9226814129858454,0.5220979725091153,26.999223160367855,2.934970255419685e-07,0.22536945812807882,27.357097353586727
random_clustering,2,18171.0,0.8812944356876851,0.48897054754341496,26.376469900645446,2.9286037588975594e-07,0.22413793103448276,26.378233728980735
random_clustering,3,21890.0,0.9838775644449143,0.5611705493521286,26.14099710619323,2.9998578888905896e-07,0.22536945812807882,26.429195292408103
random_clustering,4,18326.0,0.9026447634461305,0.5768282662284305,26.097975229885467,1.4498548833968093e-07,0.24603174603174602,27.265463119138193
random_clustering,weighted_average,,0.9255894985071975,0.5018009564312227,26.05601177651645,3.8331086819571266e-07,0.22559552752624762,26.514380821062584
