method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,7554,10.727563930774872,0.5333333333333333,3.6675129573786633
entropic_clustering,0,643,5.417360093112201,0.43333333333333335,3.4034842679120785
entropic_clustering,1,963,9.19288339037095,0.6,3.3455924869958014
entropic_clustering,2,1907,2.143776643689071,0.35,1.0161631244735356
entropic_clustering,3,1200,14.074933679483756,0.6,2.4957443697901596
entropic_clustering,4,688,7.846541619079079,0.65,3.412593030979067
entropic_clustering,5,986,10.658977301544066,0.5,2.5970915532849936
entropic_clustering,6,1167,16.371624035404093,0.5,3.4614751980264127
entropic_clustering,weighted_average,7554,9.045283190661817,0.49875341982172794,2.5537596113731897
entropic_clustering_split,0,1925,2.215421222317628,0.55,2.4122161371361988
entropic_clustering_split,1,1701,6.756139038999686,0.4666666666666667,3.8937171462074787
entropic_clustering_split,2,1599,13.08003498367608,0.6,3.9201005435619316
entropic_clustering_split,3,1212,14.093571466971833,0.55,2.4727825233820866
entropic_clustering_split,4,454,8.96914186843696,0.4,2.5084572926981257
entropic_clustering_split,5,324,17.033998859009778,0.6,3.712998257888741
entropic_clustering_split,6,339,21.584335688347416,0.43333333333333335,3.4277465797515863
entropic_clustering_split,weighted_average,7554,9.354164515767426,0.5297127349748478,3.1818691096316396
frequency_based,0,491,18.47979105727303,0.65,3.8461319373529683
frequency_based,1,728,16.02502476894113,0.4666666666666667,3.000667826699215
frequency_based,2,392,9.00144007637238,0.6,4.209393705353004
frequency_based,3,693,20.151132546793605,0.6,3.5053028172657075
frequency_based,4,2881,5.180117664933948,0.43333333333333335,2.328477529079381
frequency_based,5,976,5.529958959545915,0.5,3.3343410664244733
frequency_based,6,1393,10.046030643445881,0.6,3.5076325436597777
frequency_based,weighted_average,7554,9.603968020821785,0.5139153649280734,3.04487515480102
random_clustering,0,669,12.455751579441618,0.5333333333333333,4.080087101148178
random_clustering,1,1209,9.58030543593644,0.7,3.415739603534593
random_clustering,2,3162,7.196883353701592,0.5,2.9695694955017897
random_clustering,3,1029,11.986890215928263,0.4666666666666667,3.5680780380469264
random_clustering,4,583,14.766669970356016,0.6,3.9397648524959252
random_clustering,5,515,16.12234705735242,0.7,4.117996201559546
random_clustering,6,387,17.535576718724315,0.6,3.9144954795572326
random_clustering,weighted_average,7554,10.418955228049853,0.5568970082075722,3.4224383373928173
