method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,1050,24.44367193092122,0.4411764705882353,23.580491308820598
entropic_clustering,0,542,28.274178692270542,0.4150326797385621,23.308146155960458
entropic_clustering,1,166,15.864496024728195,0.3014705882352941,18.78548588646894
entropic_clustering,2,196,14.937443757206223,0.2867647058823529,14.645660175701519
entropic_clustering,3,146,15.823837579570387,0.2908496732026144,18.45173543698721
entropic_clustering,weighted_average,1050,22.091552813662105,0.3558683473389355,20.30086537325909
entropic_clustering_split,0,299,16.50228157822784,0.30718954248366015,19.66532582075787
entropic_clustering_split,1,247,17.877251769014425,0.2777777777777778,16.81156743053379
entropic_clustering_split,2,382,31.247356175033225,0.4150326797385621,24.704753619970973
entropic_clustering_split,3,122,16.155230369940146,0.2647058823529412,14.022237665582873
entropic_clustering_split,weighted_average,1050,22.14980146936388,0.33456893868658577,20.1717318607414
frequency_based,0,264,12.057776154089604,0.46153846153846156,18.17863474333887
frequency_based,1,303,29.115536436250995,0.369281045751634,20.58947163857261
frequency_based,2,379,23.094331492005704,0.36764705882352944,20.70338422316166
frequency_based,3,104,32.7791867860106,0.3333333333333333,21.87733905954689
frequency_based,weighted_average,1050,23.016235720075212,0.38832686920922216,20.15199558238105
random_clustering,0,279,23.25994319934782,0.38235294117647056,23.507737449450122
random_clustering,1,284,22.37954610933064,0.3758169934640523,21.8791697106643
random_clustering,2,220,25.87604693881247,0.3562091503267974,21.012627193787925
random_clustering,3,267,25.42782892973333,0.3627450980392157,22.58971316251938
random_clustering,weighted_average,1050,24.121215141376652,0.3701213818860878,22.311023184048825
