method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,5647,26.273173689265285,0.30752688172043013,29.931593065888325
entropic_clustering,0,2649,28.40241934831889,0.30919540229885056,31.110316659861493
entropic_clustering,1,771,19.13009102660778,0.15217391304347827,15.50765434929414
entropic_clustering,2,780,17.93043005212049,0.17142857142857143,10.191127546042518
entropic_clustering,3,845,19.021664844900155,0.145,16.074553468617136
entropic_clustering,4,600,25.343976593164523,0.12987012987012986,11.820996570574417
entropic_clustering,weighted_average,5645,23.959740872578326,0.22507459190124723,21.78783090248329
entropic_clustering_split,0,1595,23.140428027540583,0.13666666666666666,14.127377638368948
entropic_clustering_split,1,1032,18.796011083949498,0.17588932806324112,14.239125945296637
entropic_clustering_split,2,684,14.703811531767936,0.15367965367965367,15.39261290928781
entropic_clustering_split,3,1997,32.29492844923157,0.3103448275862069,31.163915374605285
entropic_clustering_split,4,337,17.873614747516243,0.1422924901185771,12.99652727943406
entropic_clustering_split,weighted_average,5645,24.248051995273833,0.20767567632791797,20.260524576608237
frequency_based,0,630,11.672847314640713,0.17786561264822134,18.805471306468377
frequency_based,1,1312,21.156935572213023,0.20833333333333334,20.74363503205722
frequency_based,2,2568,27.429311202481276,0.2229064039408867,22.291472836144266
frequency_based,3,757,25.754029467231764,0.19576719576719576,27.440785283511975
frequency_based,4,378,32.79010939834292,0.20634920634920634,26.24041216613334
frequency_based,weighted_average,5645,24.347338548486647,0.20974456719533693,22.497634824937037
random_clustering,0,1197,24.907735820042156,0.20804597701149424,25.391662986977934
random_clustering,1,885,26.999223160367855,0.22536945812807882,27.357097353586727
random_clustering,2,1117,26.376469900645446,0.22413793103448276,26.378233728980735
random_clustering,3,1327,26.14099710619323,0.22536945812807882,26.429195292408103
random_clustering,4,1119,26.097975229885467,0.24603174603174602,27.265463119138193
random_clustering,weighted_average,5645,26.052103914029626,0.22554824953713198,26.510351499016746
