method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,1487,5.047055138213625,0.5,3.9160766235912225
entropic_clustering,0,111,8.688793095231032,0.3333333333333333,2.122854317670869
entropic_clustering,1,101,3.3622198850804073,0.3333333333333333,2.420657092411455
entropic_clustering,2,494,0.07608815742322579,0.3,0.0754770075644047
entropic_clustering,3,203,3.8288016798727,0.3333333333333333,1.8956293792676364
entropic_clustering,4,103,8.30303330234585,0.36666666666666664,3.9852373896171778
entropic_clustering,5,235,2.3707663753390458,0.3,2.063275382975355
entropic_clustering,6,240,7.439717727787135,0.35,1.448916950953782
entropic_clustering,weighted_average,1487,3.575487098695499,0.32199058507061196,1.4427107166656723
entropic_clustering_split,0,650,1.7289773238608948,0.43333333333333335,2.544467170546374
entropic_clustering_split,1,448,3.1838459213725967,0.36666666666666664,2.662750431903468
entropic_clustering_split,2,243,7.454011539563665,0.35,1.4806066456457496
entropic_clustering_split,3,86,6.727917096289816,0.3,1.650801431481405
entropic_clustering_split,4,23,13.68015453207419,0.36666666666666664,4.0316232417583695
entropic_clustering_split,5,14,13.205466598324431,0.35,2.183327138570385
entropic_clustering_split,6,23,14.92101319034357,0.4,2.996522776333991
entropic_clustering_split,weighted_average,1487,3.8889221907676865,0.3895875364268101,2.381160814191879
frequency_based,0,419,6.010576424348598,0.4,2.5197597371935108
frequency_based,1,64,9.145755332800578,0.45,3.1487060184234887
frequency_based,2,1,0.0,0.3333333333333333,0.0
frequency_based,3,747,1.3657895407851708,0.4166666666666667,1.056328736377041
frequency_based,4,139,9.957705604709366,0.45,2.4146177854945967
frequency_based,5,7,4.527618347767094,0.3333333333333333,3.2472745975095365
frequency_based,6,110,4.160482844671981,0.4,2.6932758454324266
frequency_based,weighted_average,1487,4.033269785118165,0.4148397220354181,1.8164070063891842
random_clustering,0,197,7.608744126316044,0.4,3.068943440559464
random_clustering,1,40,10.656560607212022,0.45,3.3547735379474957
random_clustering,2,250,5.803362080606832,0.45,2.8790502994731932
random_clustering,3,252,3.2554988882325224,0.4,2.886487924516211
random_clustering,4,118,6.434602440985079,0.5,2.3409333561557872
random_clustering,5,69,10.562320970111534,0.43333333333333335,4.8980937345556725
random_clustering,6,561,2.186837431025601,0.3333333333333333,1.595786809276656
random_clustering,weighted_average,1487,4.647821311996195,0.3940820443846671,2.485114549340569
