method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,5647,26.273173689265285,0.30752688172043013,29.931593065888325
entropic_clustering,0,2125,29.75603104151707,0.3080459770114943,30.891657471138597
entropic_clustering,1,556,25.396396802698842,0.12142857142857143,10.158450431638716
entropic_clustering,2,606,18.410105268405445,0.1595238095238095,12.497765863886176
entropic_clustering,3,801,18.034761278502884,0.1736842105263158,9.768437584040116
entropic_clustering,4,421,17.995082756957842,0.13043478260869565,10.759363557679748
entropic_clustering,5,638,20.57988785615206,0.161231884057971,16.183155927928144
entropic_clustering,6,498,15.691380082816504,0.11413043478260869,11.188537454598626
entropic_clustering,weighted_average,5645,23.290440343030244,0.20770955006124073,18.975637267791537
entropic_clustering_split,0,1592,23.12064582218698,0.13833333333333334,14.000040885907538
entropic_clustering_split,1,1041,18.90192531245981,0.19047619047619047,14.323346625713368
entropic_clustering_split,2,643,15.911147015054652,0.14502164502164502,10.497955397397309
entropic_clustering_split,3,316,18.640831182505547,0.11255411255411256,8.499152410995368
entropic_clustering_split,4,253,24.530090233378168,0.14935064935064934,14.21027794594216
entropic_clustering_split,5,1663,32.942817731390036,0.3057471264367816,31.696904653822486
entropic_clustering_split,6,137,7.789182383675607,0.14285714285714285,13.675095798845017
entropic_clustering_split,weighted_average,5645,23.85535505517345,0.1971909676510025,18.56779934352619
frequency_based,0,479,9.762264197832954,0.2134502923976608,17.248111448870837
frequency_based,1,380,32.68877818374454,0.20238095238095238,25.80521685296243
frequency_based,2,2502,27.39044703333402,0.20935960591133004,21.084641266816597
frequency_based,3,1230,20.745539521916108,0.20108695652173914,17.584840187693587
frequency_based,4,671,26.288270407201598,0.20461538461538462,24.644302265514284
frequency_based,5,179,27.312221031777376,0.15211640211640212,24.71683709582497
frequency_based,6,204,13.340756665171465,0.16904761904761906,15.270372336369816
frequency_based,weighted_average,5645,24.162197292747365,0.20359851475936255,20.64247126403991
random_clustering,0,889,26.285231671527317,0.26,25.001109675760425
random_clustering,1,780,26.680251722354207,0.20073891625615764,24.898821961554898
random_clustering,2,654,27.67697994572652,0.21693121693121692,26.822820924447125
random_clustering,3,798,27.431156550973895,0.21031746031746032,25.679893740634718
random_clustering,4,725,23.20858856590761,0.1896551724137931,26.731097367479826
random_clustering,5,1016,23.18176249106827,0.23076923076923078,24.096865320338175
random_clustering,6,783,28.253685741637565,0.2222222222222222,26.819391886716478
random_clustering,weighted_average,5645,25.98237527874526,0.22026293044246073,25.605631944298356
