method,cluster,num_traces,replay_fitness,replay_precision,ER,tade_fitness,graph_density,graph_entropy
full_log,0,451359.0,0.99049272869016,0.5881226931074074,3.4503908320667636,1.8570968187122383e-07,0.41578947368421054,18.223095414545302
entropic_clustering,0,120495.0,0.996950867272256,0.5464323665863204,1.0228610814667456,1.3760952145091445e-07,0.3538011695906433,16.419272996095305
entropic_clustering,1,36972.0,0.9980340561957475,0.7701251044555595,4.370728627592903,1.0782232645902071e-07,0.31871345029239767,18.167791969995452
entropic_clustering,2,27846.0,0.9856871589357952,0.7402774943889002,0.42703468969492825,1.825439042209609e-07,0.23529411764705882,15.989981523087614
entropic_clustering,3,205915.0,0.99860282517787,0.65078261991473,0.1406032736115309,1.5830160552831635e-07,0.17647058823529413,8.817278803040137
entropic_clustering,4,60131.0,0.9955781739660814,0.44811133018197846,4.105195742899073,3.5234351818942806e-07,0.23421052631578948,13.701374262023068
entropic_clustering,weighted_average,,0.9969154629255678,0.6112218567867641,1.2684742767994608,1.7598901781645983e-07,0.2467836022952914,12.705815615394382
entropic_clustering_split,0,44988.0,0.978921906139651,0.5037001121246099,1.6156295577732434,6.69582211465447e-08,0.4064327485380117,22.353779161786704
entropic_clustering_split,1,130304.0,0.9837826360721033,0.6876727086748614,1.5361224059960232,2.4856276893331313e-07,0.2549019607843137,11.985058413007268
entropic_clustering_split,2,208065.0,0.9976407926675581,0.6426152116664365,0.22548593692233826,2.2345052263986975e-07,0.20220588235294118,6.0463483408748635
entropic_clustering_split,3,19343.0,0.9848691662068365,0.7215656424021473,2.3161293472861857,1.6508388170250037e-07,0.23684210526315788,14.393925660951767
entropic_clustering_split,4,48659.0,0.9972553915169677,0.5166059567173773,4.690467417377409,3.351822699697809e-07,0.2134502923976608,10.417801444936092
entropic_clustering_split,weighted_average,,0.9911854138906911,0.6315759135404495,1.3133601236011219,2.2464628840307323e-07,0.24047116180449496,10.215211927738283
frequency_based,0,16613.0,0.9917021245852288,0.8034330781721178,4.916232628850163,2.2456850556555973e-07,0.24853801169590642,13.976235190381196
frequency_based,1,343050.0,0.9926594072349662,0.7070713709261387,1.832738149709452,3.791293396220014e-07,0.2875816993464052,11.366147826881432
frequency_based,2,45387.0,0.9996254150113733,0.7509575452079286,1.4737835234948835,5.801263357321362e-07,0.19230769230769232,6.019313778700413
frequency_based,3,22978.0,0.9993621252485836,0.4545891557677325,7.481390516251677,2.22243229165076e-07,0.28654970760233917,13.104562615061859
frequency_based,4,23331.0,0.9976707099018992,0.43708858805690987,5.479776220822388,8.071278990080503e-07,0.2719298245614035,15.18519792657237
frequency_based,weighted_average,,0.9939249112247543,0.6882221050149089,2.3862177512627767,4.0778864821943203e-07,0.2757026382502316,11.210467265075263
random_clustering,0,24105.0,0.9504497026571987,0.5906473331954278,3.2821339154879983,2.464912753911941e-07,0.2657894736842105,17.999747043861003
random_clustering,1,12362.0,0.9933586250704283,0.4714262636053391,9.49647378363327,7.569029139911512e-08,0.30994152046783624,20.67116736408319
random_clustering,2,149915.0,0.9976076520125627,0.6059071447353407,1.8881414008090558,6.890599699086555e-08,0.3216374269005848,16.796467092290225
random_clustering,3,226992.0,0.9970331419965732,0.674371279407467,0.9324898896435098,1.434628268664772e-07,0.34210526315789475,13.662057056123308
random_clustering,4,37985.0,0.9395562632184542,0.5844676666795203,6.295152127261322,1.0773897229035175e-07,0.3538011695906433,19.66296228944122
random_clustering,weighted_average,,0.9897984357984994,0.6340358446700851,2.0612440731931416,1.19339100301513e-07,0.3313347524135331,15.631766543783819
