method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,4580,3.6178987701828125,0.2791666666666667,12.729223603554367
entropic_clustering,0,352,4.217376159666305,0.2636363636363636,5.755704101034668
entropic_clustering,1,292,5.204524184446856,0.19230769230769232,6.332002086801017
entropic_clustering,2,234,5.448620766245672,0.2818181818181818,8.30398409363179
entropic_clustering,3,2373,0.04829691116492545,0.18888888888888888,2.878698947399401
entropic_clustering,4,320,4.218084299122837,0.1978021978021978,7.105331108459208
entropic_clustering,5,327,3.2255657050741675,0.21794871794871795,7.553700702333806
entropic_clustering,6,682,1.4146172622499302,0.2777777777777778,1.799053989939908
entropic_clustering,weighted_average,4580,1.6950085663078363,0.21553340885218614,4.065493065176383
entropic_clustering_split,0,3446,2.4793080136455092,0.32575757575757575,7.198652684768191
entropic_clustering_split,1,716,1.7831680357450819,0.23076923076923078,5.700385876375109
entropic_clustering_split,2,217,2.3281840182902465,0.25757575757575757,8.226161445661695
entropic_clustering_split,3,124,4.097193681810644,0.15714285714285714,6.603942308082266
entropic_clustering_split,4,64,2.1320049367124967,0.19047619047619047,1.057738883330231
entropic_clustering_split,5,8,5.862805977245511,0.2222222222222222,5.3669341076922885
entropic_clustering_split,6,5,4.680566875783267,0.12121212121212122,3.897217848866922
entropic_clustering_split,weighted_average,4580,2.4105819378331628,0.30081776059942,6.904392176800342
frequency_based,0,77,4.170485217272203,0.3333333333333333,5.2016614956322655
frequency_based,1,2842,1.2727627372444978,0.2909090909090909,2.8948702307729794
frequency_based,2,982,3.654112304258541,0.1813186813186813,4.912094884918141
frequency_based,3,206,6.078086672317518,0.25555555555555554,5.351432711918698
frequency_based,4,84,5.980528592096176,0.2777777777777778,4.438805054306403
frequency_based,5,352,4.204894334994943,0.25555555555555554,3.5440933483093615
frequency_based,6,37,4.761053960140913,0.17032967032967034,7.498923843889495
frequency_based,weighted_average,4580,2.3880762887418405,0.26260279022287747,3.5920659633309833
random_clustering,0,141,6.80332317363088,0.3888888888888889,8.540989764862825
random_clustering,1,2575,0.9234214312049673,0.20952380952380953,8.588441647570175
random_clustering,2,35,7.740851252790762,0.26666666666666666,7.234264450421369
random_clustering,3,450,5.754455931868955,0.30303030303030304,8.472634587450674
random_clustering,4,285,4.133052679009411,0.22435897435897437,7.693247521531012
random_clustering,5,948,3.378835934879769,0.25757575757575757,7.516767777500505
random_clustering,6,146,6.560853818205932,0.3181818181818182,8.982626287510145
random_clustering,weighted_average,4580,2.518876605516424,0.23900279124078253,8.300291802213911
