method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,100000,3.4503908320667636,0.41578947368421054,18.223095414545302
entropic_clustering,0,33851,0.2019994795665753,0.35947712418300654,17.620844883774357
entropic_clustering,1,22488,0.12082361781824313,0.22083333333333333,14.784514621725682
entropic_clustering,2,3940,0.9370277853743412,0.19005847953216373,11.372894814613698
entropic_clustering,3,3814,5.837088926750479,0.28362573099415206,17.53393239616993
entropic_clustering,4,5791,1.706766044934082,0.195906432748538,12.951876484454745
entropic_clustering,5,21179,0.1504422365156772,0.14166666666666666,5.24276321921813
entropic_clustering,6,3644,4.171080066620214,0.21637426900584794,13.817058414500165
entropic_clustering,7,5293,5.29945452031667,0.2222222222222222,10.552524756253913
entropic_clustering,weighted_average,100000,0.9182903937348501,0.25064881621947027,13.328856820411717
entropic_clustering_split,0,25761,1.2327649784834047,0.24509803921568626,14.027568456419605
entropic_clustering_split,1,26942,1.5171470071547577,0.26143790849673204,13.12939747299578
entropic_clustering_split,2,34528,0.4957446549105563,0.42810457516339867,15.955886990784405
entropic_clustering_split,3,5959,2.1991970462435946,0.2131578947368421,16.161637592194435
entropic_clustering_split,4,2540,2.9540133151170758,0.22083333333333333,9.052380060746401
entropic_clustering_split,5,2678,2.9166056876780813,0.2032967032967033,4.797635931368482
entropic_clustering_split,6,508,4.486858667612214,0.18681318681318682,6.908912046576793
entropic_clustering_split,7,1084,3.3196797220570846,0.17142857142857143,5.9764125222160605
entropic_clustering_split,weighted_average,100000,1.240460407946479,0.3079550829335783,14.081577550252119
frequency_based,0,119,11.02800553186182,0.22916666666666666,14.63118575328704
frequency_based,1,37148,0.7728898301922266,0.24836601307189543,9.225086056099315
frequency_based,2,2190,4.521014483439776,0.23976608187134502,14.400652392324197
frequency_based,3,1885,7.146964203414066,0.27485380116959063,11.935926460247579
frequency_based,4,32581,1.5074807336571434,0.1987179487179487,5.775101584624117
frequency_based,5,24100,1.7314254047126951,0.2549019607843137,8.793251085584929
frequency_based,6,1503,6.613106393938148,0.21052631578947367,13.357051738886092
frequency_based,7,474,4.048625130287105,0.17647058823529413,9.154731025673277
frequency_based,weighted_average,100000,1.5609782257114546,0.23314393474967587,8.229621851943252
random_clustering,0,4008,5.167580616724675,0.2982456140350877,16.64979864554057
random_clustering,1,5645,4.216955001438404,0.30116959064327486,17.914726886493277
random_clustering,2,1421,8.863932963660224,0.30409356725146197,18.21959576786064
random_clustering,3,22375,0.7411955275379658,0.28362573099415206,12.910166024986014
random_clustering,4,755,8.412837001080783,0.2807017543859649,20.17589899209237
random_clustering,5,2846,5.317322823202504,0.2719298245614035,15.101397889014539
random_clustering,6,61731,1.6141281576222672,0.3137254901960784,15.087776485729176
random_clustering,7,1219,8.413765210084966,0.2953216374269006,17.12546099772183
random_clustering,weighted_average,100000,2.0507919054489956,0.3038614086687307,14.93086885968709
