method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,5647,26.273173689265285,0.30752688172043013,29.931593065888325
entropic_clustering,0,2987,27.648849819121764,0.31264367816091954,31.076235507456033
entropic_clustering,1,685,25.036307589700094,0.1394736842105263,10.199477427778794
entropic_clustering,2,921,20.837383583073503,0.15942028985507245,14.240820732002634
entropic_clustering,3,1052,17.271562876232924,0.1880952380952381,12.562828983198447
entropic_clustering,weighted_average,5645,24.28660753489265,0.24342044602012214,22.346014080300943
entropic_clustering_split,0,1323,21.78444653845691,0.1541501976284585,14.243567060358087
entropic_clustering_split,1,1108,19.537688616869158,0.13333333333333333,11.7866687945791
entropic_clustering_split,2,2492,30.562379216868,0.3137931034482759,31.488969219613626
entropic_clustering_split,3,722,15.361821442602274,0.15,15.9363799571286
entropic_clustering_split,weighted_average,5645,24.397035579780937,0.22000823004231837,21.59086729310388
frequency_based,0,2774,28.400897142032985,0.2574712643678161,25.27631398839837
frequency_based,1,1405,22.117253450467015,0.24,22.12841489004803
frequency_based,2,836,25.79201787386951,0.1984126984126984,27.125918841864685
frequency_based,3,630,11.672847314640713,0.17786561264822134,18.805471306468377
frequency_based,weighted_average,5645,24.583675911547246,0.23549223015017134,24.044576262038706
random_clustering,0,1633,23.902693950602288,0.2526455026455027,26.000192607226296
random_clustering,1,1377,26.910945738369474,0.25,27.667340738174726
random_clustering,2,1273,25.724581848886213,0.2149425287356322,25.344171202593138
random_clustering,3,1362,28.044832575474647,0.22528735632183908,26.569531610052042
random_clustering,weighted_average,5645,26.046753970681475,0.236896957344714,26.396293129824464
