method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,7554,10.727563930774872,0.5333333333333333,3.6675129573786633
entropic_clustering,0,1700,6.739759896018665,0.4666666666666667,3.892573811341019
entropic_clustering,1,1923,2.209303882886057,0.65,2.6245140166450978
entropic_clustering,2,3931,14.78620702578629,0.5,3.6333558523853515
entropic_clustering,weighted_average,7554,9.773717634152439,0.5306835230782808,3.4348739461232554
entropic_clustering_split,0,1923,2.211155645950358,0.65,2.4226623397511546
entropic_clustering_split,1,1701,6.747218313752108,0.4666666666666667,3.8988622391923466
entropic_clustering_split,2,3930,14.781780662688481,0.5,3.6336076939311557
entropic_clustering_split,weighted_average,7554,9.772500484937861,0.5306791104050834,3.385070503753918
frequency_based,0,1822,15.404207824782649,0.4666666666666667,3.186070502957525
frequency_based,1,4889,6.789695822014547,0.5,3.531820666070314
frequency_based,2,843,18.531493697255456,0.65,4.160691430827558
frequency_based,weighted_average,7554,10.177831442595902,0.5086995852087194,3.5186066413812562
random_clustering,0,1873,12.893996321237799,0.5333333333333333,4.0572222965508615
random_clustering,1,2039,11.98673977780398,0.5333333333333333,3.6647806717607803
random_clustering,2,3642,8.606221111682352,0.5333333333333333,3.22990147434821
random_clustering,weighted_average,7554,10.581847339868657,0.5333333333333333,3.552418099117842
