method,cluster,num_traces,replay_fitness,replay_precision,ER,tade_fitness,graph_density,graph_entropy
full_log,0,92426.0,0.8849105748518131,0.3658954173900275,26.273173689265285,2.0622235708709466e-07,0.30752688172043013,29.931593065888325
entropic_clustering,0,45022.0,0.9027417494904513,0.24726681518728533,29.645003227703242,1.4245202012828396e-07,0.30919540229885056,31.4278940331576
entropic_clustering,1,6332.0,0.9944427527405603,0.44418781725888323,15.428120864507877,1.3632974230950043e-06,0.115,12.020057358187373
entropic_clustering,2,11296.0,0.9952300420623563,0.45005207081631016,25.293786439909926,6.97422648830497e-07,0.12337662337662338,11.066628615465804
entropic_clustering,3,10643.0,0.9282118793167662,0.5089545731973145,19.34161016313112,8.088513691533122e-07,0.13675213675213677,13.370962144431635
entropic_clustering,4,10698.0,0.9846578353952875,0.5274472239619792,17.576626622072098,4.968069901488097e-07,0.17105263157894737,9.550185464901098
entropic_clustering,5,8366.0,0.9808228188596454,0.5080417015926236,20.82010641549425,3.323329366050426e-07,0.16205533596837945,13.35381485191393
entropic_clustering,weighted_average,,0.9398373850196047,0.37180227599634474,24.7534602368862,4.290709315438019e-07,0.22395234497392968,21.35473580184475
entropic_clustering_split,0,20169.0,0.9992671552298468,0.3661589185624794,21.755285210418386,3.6426623488734474e-07,0.14855072463768115,13.869088381227128
entropic_clustering_split,1,13829.0,0.8871326493810407,0.4079972086531751,19.272874149038426,2.3067431702238026e-06,0.13333333333333333,11.710921334918977
entropic_clustering_split,2,8016.0,0.9525017587012787,0.5426416901071278,15.711017662418827,1.0027728745208963e-06,0.1523076923076923,16.69012537399793
entropic_clustering_split,3,5033.0,0.9169142144610164,0.5138121546961326,19.428155866110004,1.419749212920419e-06,0.14,17.252222317089487
entropic_clustering_split,4,41338.0,0.9294803740914145,0.2466131929768981,32.60185287285203,1.4143777256909438e-07,0.3103448275862069,31.12237917606673
entropic_clustering_split,5,3972.0,0.9757274639871892,0.5068091347161114,23.318751452717486,4.6303117196229867e-07,0.13768115942028986,10.454220105525758
entropic_clustering_split,weighted_average,,0.9416818345377281,0.3483290605347422,25.654209479522,6.725703151981038e-07,0.21808210250872737,21.550673227376787
frequency_based,0,13149.0,0.9199410529715762,0.6841277071514349,26.589553835065864,6.253992985785486e-07,0.19444444444444445,27.298050641331166
frequency_based,1,46557.0,0.9844856940062817,0.3770461109144725,27.441873523970184,4.574720971398936e-07,0.2204433497536946,22.27218797102703
frequency_based,2,10061.0,0.9074929368184943,0.6674097664543525,32.79010939834292,7.030674023230966e-08,0.20634920634920634,26.24041216613334
frequency_based,3,2025.0,0.9300002212968997,0.6042446941323345,13.516039646733352,1.423763173770508e-06,0.1738095238095238,17.07978775972259
frequency_based,4,3870.0,0.9926820343944384,0.6203825857519789,10.76845577290367,1.798767145560345e-05,0.16798418972332016,18.37586909436672
frequency_based,5,16695.0,0.9927617214027551,0.3960115542717476,20.96798316783581,2.299868665720733e-07,0.20333333333333334,20.191366641744676
frequency_based,weighted_average,,0.9675539337435848,0.47100306071571746,25.728889232026596,1.1538302415032972e-06,0.20889292094270775,22.766754655803037
random_clustering,0,15019.0,0.9995245736019492,0.26257075900739424,26.175692876687968,1.7899820560730897e-07,0.2564102564102564,27.87151935443374
random_clustering,1,15806.0,0.912532955022168,0.42175751390306393,27.496852971001157,5.055971981657651e-07,0.21798029556650247,26.082767221424785
random_clustering,2,16232.0,0.8336838056279814,0.3639810048286045,25.214885600835668,5.23777119750021e-07,0.20804597701149424,27.219104891225758
random_clustering,3,14653.0,0.8774626753917922,0.301664135021097,24.175930717287816,6.105901909034765e-07,0.1933497536945813,24.93908607264607
random_clustering,4,16049.0,0.8567075386542453,0.51427570502715,25.454145751453364,1.615307837599805e-07,0.23412698412698413,25.875677529009355
random_clustering,5,14598.0,0.9475401739560824,0.3940632852093182,27.690414102813964,1.571376333486476e-07,0.21957671957671956,24.689842234518018
random_clustering,weighted_average,,0.9030897746868161,0.3783624453218737,26.029691041131233,3.5747235574458596e-07,0.22163413009432933,26.13576201376728
