method,cluster,num_traces,ER,graph_density,graph_entropy
full_log,0,7554,10.727563930774872,0.5333333333333333,3.6675129573786633
entropic_clustering,0,959,9.149194829235368,0.6,3.329809028779236
entropic_clustering,1,949,16.092761741217956,0.4666666666666667,3.6142955862775317
entropic_clustering,2,643,5.460893770281761,0.5,3.9627143431052736
entropic_clustering,3,585,12.785714680947166,0.6,2.5972086052495733
entropic_clustering,4,1907,2.1415116159384415,0.5,1.0156892359638658
entropic_clustering,5,801,11.822598477829462,0.4,2.4113582209072617
entropic_clustering,6,686,7.693809560067405,0.6,3.4258780411798346
entropic_clustering,7,1024,13.870741159115338,0.55,2.6178724087212935
entropic_clustering,weighted_average,7554,9.011445969522661,0.5215073691642397,2.593317013155168
entropic_clustering_split,0,1924,2.2209669267506422,0.65,2.483348727046461
entropic_clustering_split,1,1683,6.5955138305474765,0.4666666666666667,3.816288609503541
entropic_clustering_split,2,1620,13.084783108950864,0.6,3.9373239254380468
entropic_clustering_split,3,1230,14.478319768391056,0.55,2.588799994865335
entropic_clustering_split,4,459,9.042951013102273,0.5,2.5321633330333517
entropic_clustering_split,5,412,18.606383168524456,0.4666666666666667,3.787694179544163
entropic_clustering_split,6,111,11.26823361796261,0.45,2.522010388783732
entropic_clustering_split,7,115,28.34619439457339,0.55,3.288165570907363
entropic_clustering_split,weighted_average,7554,9.360100974704375,0.5585738240225928,3.1962325389422417
frequency_based,0,808,17.164090701499077,0.6,3.377457559394214
frequency_based,1,232,18.821221522841505,0.65,3.9173344571896362
frequency_based,2,600,13.67579088960544,0.4666666666666667,2.776780689685451
frequency_based,3,975,5.506916422589119,0.4666666666666667,3.296088864366354
frequency_based,4,285,7.846453267181726,0.65,3.7877765039228026
frequency_based,5,410,21.71586810764016,0.6,3.5268363195699215
frequency_based,6,3603,6.267290357812161,0.43333333333333335,2.686666693408221
frequency_based,7,641,12.02897550838791,0.6,4.186130886885917
frequency_based,weighted_average,7554,9.695683385127252,0.4961278792692613,3.0985506417940627
random_clustering,0,999,11.989365891113954,0.5,3.3063815779718917
random_clustering,1,679,14.513062142551659,0.65,3.870601560729099
random_clustering,2,330,18.24915057264222,0.5,4.153347152395976
random_clustering,3,691,13.196232369201455,0.6,3.632355091154291
random_clustering,4,902,12.44720062196492,0.55,3.591628422374139
random_clustering,5,512,13.97807116310323,0.5333333333333333,3.9755912058060963
random_clustering,6,2930,5.455035332308678,0.6,3.2091763053141618
random_clustering,7,511,13.661989598901727,0.6,3.8257095069090474
random_clustering,weighted_average,7554,10.368181040684403,0.5764120554231753,3.500761351782165
