method,cluster,num_traces,replay_fitness,replay_precision,ER,tade_fitness,graph_density,graph_entropy
full_log,0,15214.0,0.9669797292104476,0.6157229638312673,24.44367193092122,3.0503634993874277e-06,0.4411764705882353,23.580491308820598
entropic_clustering,0,8276.0,0.9794835965916584,0.5141415352421227,28.064997347593494,2.5485816669206315e-06,0.4150326797385621,23.867418011938422
entropic_clustering,1,1337.0,0.9654077732885242,0.4139509621353197,18.856811425206146,1.2327985047805168e-05,0.34558823529411764,20.969014680969803
entropic_clustering,2,1701.0,0.9955159277455727,0.615767131594906,14.236454017546503,2.3175447819637476e-05,0.24632352941176472,13.631442617039843
entropic_clustering,3,1379.0,0.9853267237638297,0.506006727534839,16.463921875772627,4.211349819046299e-05,0.30392156862745096,19.105492882976705
entropic_clustering,4,2521.0,0.9962420021738401,0.5229092147845342,19.22902281337805,3.615139336758787e-05,0.2581699346405229,15.940114520854225
entropic_clustering,weighted_average,,0.983345646833516,0.5174145576852911,23.194018534721145,1.486842324897407e-05,0.3540037136847641,20.72307817664928
entropic_clustering_split,0,2582.0,0.9693221504526616,0.5570854420958619,16.139269358719613,1.9805675283452167e-05,0.31699346405228757,20.144110788531137
entropic_clustering_split,1,3085.0,0.9848711803475135,0.28878121799417,21.10542972881498,1.6542619830694107e-05,0.29411764705882354,18.73713299665513
entropic_clustering_split,2,1509.0,0.9578485288688914,0.580366881507189,16.56415333125727,2.0042893023327628e-05,0.30833333333333335,14.791393919606069
entropic_clustering_split,3,7279.0,0.9893509936584051,0.4890329551593733,31.650705494681134,2.369453294937078e-06,0.40522875816993464,23.925385981563768
entropic_clustering_split,4,759.0,0.9869174972400603,0.5781818181818181,15.379711047495606,4.3920030827313846e-05,0.28095238095238095,14.378894225462467
entropic_clustering_split,weighted_average,,0.9817974942256307,0.4734829219010751,24.571831047410846,1.2028363038224292e-05,0.3519132413054613,20.849403710548355
frequency_based,0,4026.0,0.9772992210771562,0.4274821932214733,30.577155924412683,2.5119110716212526e-06,0.3464052287581699,19.785117119531762
frequency_based,1,2763.0,0.959842427181665,0.8248391466305451,32.84429658926815,2.9965172500673905e-06,0.36764705882352944,21.20787065711988
frequency_based,2,1732.0,1.0,0.5789594579074309,12.095952323257015,0.00016372928096852895,0.46153846153846156,18.27773431512032
frequency_based,3,4863.0,0.9962736239334222,0.625342743982939,25.675071577177324,7.104386358427963e-06,0.3786764705882353,21.13512178692887
frequency_based,4,1830.0,0.9831507877750492,0.672934276349836,19.64534131514944,3.266774853098759e-05,0.35833333333333334,19.280970783801436
frequency_based,weighted_average,,0.9834820471392232,0.6096584161203332,26.003119385976817,2.6048511663370444e-05,0.3751199268019592,20.24277229964751
random_clustering,0,2744.0,0.9484505749398708,0.5932374695640189,20.634915378947817,9.984402645563099e-06,0.35947712418300654,21.98289472687242
random_clustering,1,2785.0,0.9580137555654243,0.6820661677274953,25.775583561941115,3.036104071686382e-06,0.3627450980392157,21.945552033145933
random_clustering,2,2816.0,0.9612211331001199,0.5879804941836707,26.36425760667144,6.345656950340959e-06,0.3627450980392157,21.47800551123336
random_clustering,3,3204.0,0.9616285777074451,0.5527992249655052,24.053288813065045,7.125123363874511e-06,0.3660130718954248,21.077367471197523
random_clustering,4,3665.0,0.9571767280475152,0.6626225798340457,24.602912768597655,8.18991452210832e-06,0.35947712418300654,22.40484552843627
random_clustering,weighted_average,,0.9574422288000163,0.6167235071057721,24.312171032877377,7.004538757237595e-06,0.3620566626370105,21.793554180486282
