method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy
full_log,0,65533,0.9657079052277042,0.8409022932150064,0.9572409331707626,0.8409022932150064,0.7333333333333333,10.727563930774872,0.5333333333333333,3.6675129573786633
trace2vec_based,1,13433,0.9734563573682332,0.8348192545420491,0.9659861896711566,0.8348192545420491,0.7333333333333333,11.42629086941348,0.5333333333333333,3.264774443276122
trace2vec_based,2,12397,0.9999486488953672,0.6763452205106563,0.9998313296067576,0.6763452205106563,0.7142857142857143,13.558127203678268,0.65,3.861668918371984
trace2vec_based,3,10495,0.9898752767469275,0.8489691545469075,0.9827341574152386,0.8489691545469075,0.7391304347826086,15.828959539287442,0.65,3.778404757872416
trace2vec_based,4,23170,0.9999358264747382,0.9186308314833184,0.9998486549933646,0.9186308314833184,0.6774193548387096,7.652045789240845,0.7,3.765980016200612
trace2vec_based,5,6038,0.9914764835099396,0.6165264440100847,0.9915896367208112,0.6165264440100847,0.6666666666666666,17.913589426956975,0.6,2.975700033012856
trace2vec_based,average,65533,0.9921198752566652,0.8166263265271714,0.9894024083099672,0.8166263265271714,0.704746926962849,11.797942295550778,0.6391568624458924,3.610520140786419
entropic_clustering_++,1,31301,1.0,0.7481485057027404,0.8511095267354165,0.8017209997598965,0.7333333333333333,15.409994639560264,0.5,2.997464629206956
entropic_clustering_++,2,6038,0.9998877476567324,0.9993693062368606,0.999393491877186,0.999719495091164,0.8,2.1710864121125404,0.55,2.030738292961268
entropic_clustering_++,3,8095,0.989095096040711,0.6640555906506633,0.97926850332318,0.6640555906506633,0.7142857142857143,7.389869975195972,0.5333333333333333,3.6004614058890927
entropic_clustering_++,4,8995,0.983310505757622,0.9520148342453982,0.971301870958898,0.9520148342453982,0.8181818181818181,9.426607939298274,0.55,3.235361513505602
entropic_clustering_++,5,11104,0.9990412906211776,0.8320325667021028,0.9975193976083212,0.8320325667021028,0.7777777777777779,11.409621225640064,0.6,2.8898381154537574
entropic_clustering_++,average,65533,0.9961893933308146,0.803103494561126,0.9219082211255238,0.8287239770170691,0.756299870642263,11.700410967328189,0.5325314472606676,2.997296209548787
entropic_clustering_++_norm,1,23076,0.991896695030815,0.8466196187643069,0.984692064271236,0.8466196187643069,0.7142857142857143,16.44909809433757,0.5,3.335976345399774
entropic_clustering_++_norm,2,18867,0.9998750728741568,0.8835431037708783,0.9996057123213216,0.8835431037708783,0.8,11.794189431670434,0.45,2.302144679428889
entropic_clustering_++_norm,3,9219,0.9965826295218992,0.9304331912891166,0.9945332501656488,0.9304331912891166,0.7391304347826086,9.605846501202572,0.65,3.302678047043168
entropic_clustering_++_norm,4,8336,0.9819541237827112,0.6199521211883364,0.9443310123830768,0.6200251197111233,0.7931034482758622,7.519558768022087,0.4666666666666667,3.498819083340565
entropic_clustering_++_norm,5,6035,1.0,0.9996059113300492,0.9999389447290854,0.9996059113300492,0.8461538461538463,2.158977687461912,0.3,1.0183035677327807
entropic_clustering_++_norm,average,65533,0.9943343959816104,0.8542964339958113,0.986640195526405,0.8543057196333672,0.7646277360640298,11.69440023745153,0.4840482403267565,2.8409283969742765
entropic_clustering_randominit,1,15128,0.9926102333775848,0.8605165078003891,0.9849969874511892,0.8605165078003891,0.7142857142857143,6.866507661265231,0.5,2.888541816295185
entropic_clustering_randominit,2,19604,0.9998848412728878,0.8348401025502631,0.9995181687507784,0.8348401025502631,0.7931034482758622,11.992397928501944,0.45,2.305897962055817
entropic_clustering_randominit,3,12814,0.9976692659626508,0.922945366385386,0.9926553883371192,0.922945366385386,0.7777777777777779,12.478875685490555,0.6,3.034624517562186
entropic_clustering_randominit,4,8774,0.9810987458046282,0.616902471231843,0.9377235316532696,0.6169723039770583,0.7931034482758622,7.819058305417135,0.4666666666666667,3.560772811366424
entropic_clustering_randominit,5,9213,0.98364312267658,0.9482955043379196,0.971733686077046,0.9482955043379196,0.8181818181818181,9.523306256587253,0.6,3.2312213222247843
entropic_clustering_randominit,average,65533,0.9929737460181032,0.8447662977326755,0.9826445221347612,0.844775647411563,0.7754376798901353,9.998358812163591,0.5141918321049447,2.88098859355872
entropic_clustering_split_++,1,15460,0.9961691971359232,0.8798489078666447,0.9840260428290508,0.8798633579135804,0.7647058823529413,7.007629785752851,0.5333333333333333,2.948350191938891
entropic_clustering_split_++,2,9282,0.993016704360592,0.9609897822609604,0.982071834429582,0.9610839046686256,0.7931034482758622,6.7833408051847774,0.4666666666666667,3.89292019824408
entropic_clustering_split_++,3,15783,0.9973096295165876,0.9129191306808871,0.99585816043406,0.9129191306808871,0.7391304347826086,12.321629266040498,0.6,3.912004604275383
entropic_clustering_split_++,4,8571,0.9992879581151832,0.9047488484316736,0.9977127566592296,0.9047488484316736,0.7777777777777779,12.243681051537529,0.55,3.2064822195906126
entropic_clustering_split_++,5,16437,1.0,0.8880863573144518,0.8397622140484092,0.9271498437712268,0.7777777777777779,13.967125974889615,0.55,2.534985303246839
entropic_clustering_split_++,average,65533,0.9973660874561202,0.9046289922510266,0.952204695116708,0.9144436439349658,0.7675568258268904,10.686088543014511,0.5463069496792964,3.2443053186995043
entropic_clustering_split_++_norm,1,6068,0.9995963673057516,0.9998039215686274,0.998569475030236,0.9998039215686274,0.7931034482758622,2.2106248296040723,0.65,2.5474878487671586
entropic_clustering_split_++_norm,2,22669,0.9934055161965868,0.9003013877588439,0.9764144468995724,0.9003426580639247,0.7647058823529413,12.027950814003312,0.5,4.172815262069134
